id,grade,subject,weekOf,instructionalWeek,status,sourceSheet,sourceRow,sourceText,reason,supportingDocuments
dcss-fy27-K-math-r23,K,Math,2026-10-05,10,needs_additional_source_material,KINDER,23,Unit 2 K.NR.4.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r23,K,Social Studies,2026-10-05,10,needs_additional_source_material,KINDER,23,SS2 SSKG2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r24,K,Literacy,UNRESOLVED,,needs_timing_review,KINDER,24,week 10,Source row has content but no Week of date. Not assigned to an adjacent week.,
dcss-fy27-K-literacy-r25,K,Literacy,2026-10-19,11,needs_additional_source_material,KINDER,25,"Heggerty week 10
M.   T.    W.   TH.   F.  | U2: Sessions 16-20 | U2W4","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r25,K,Math,2026-10-19,11,needs_additional_source_material,KINDER,25,Unit 3 K.NR.5.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r25,K,Social Studies,2026-10-19,11,needs_additional_source_material,KINDER,25,SS2 SSKG2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r26,K,Literacy,2026-10-26,12,needs_additional_source_material,KINDER,26,"Heggerty week 11
M.   T.    W.   TH.   F.  | U2: Sessions 21-25 | U2W5","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r26,K,Math,2026-10-26,12,needs_additional_source_material,KINDER,26,Unit 3 K.GSR.8.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r26,K,Science,2026-10-26,12,needs_additional_source_material,KINDER,26,Unit 3 SKE2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r29,K,Literacy,2026-11-02,13,needs_additional_source_material,KINDER,29,"Heggerty week 12
M.   T.    W.   TH.   F.  | U2: Sessions 26-30 | U2W6","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r29,K,Math,2026-11-02,13,needs_additional_source_material,KINDER,29,Unit 3 K.NR.5.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r29,K,Science,2026-11-02,13,needs_additional_source_material,KINDER,29,Unit 3 SKE2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r30,K,Literacy,2026-11-09,14,needs_additional_source_material,KINDER,30,"Heggerty week 13
M.   T.    W.   TH.   F.  | U3: Sessions 1-5 | U3W1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r30,K,Math,2026-11-09,14,needs_additional_source_material,KINDER,30,Unit 3 K.NR.5.3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r30,K,Social Studies,2026-11-09,14,needs_additional_source_material,KINDER,30,SS3 SSKE2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r31,K,Literacy,2026-11-16,15,needs_additional_source_material,KINDER,31,"Heggerty week 14
M.   T.    W.   TH.   F.  | U3: Sessions 6-10 | U3W2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r31,K,Math,2026-11-16,15,needs_additional_source_material,KINDER,31,Unit 3 K.NR.5.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r31,K,Social Studies,2026-11-16,15,needs_additional_source_material,KINDER,31,SS3 SSKG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r35,K,Literacy,2026-11-30,16,needs_additional_source_material,KINDER,35,"Heggerty week 15
M.  T.   W.   TH.    F.   | U3: Sessions 11-15 | U3W3","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r35,K,Math,2026-11-30,16,needs_additional_source_material,KINDER,35,Unit 4 K.NR.1.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r35,K,Science,2026-11-30,16,needs_additional_source_material,KINDER,35,Unit 4 SKL1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r36,K,Literacy,2026-12-07,17,needs_additional_source_material,KINDER,36,"Heggerty week 16
M.  T.   W.   TH.    F.   | U3: Sessions 16-20 | U3W4","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r36,K,Math,2026-12-07,17,needs_additional_source_material,KINDER,36,Unit 4 K.GSR.8.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r36,K,Science,2026-12-07,17,needs_additional_source_material,KINDER,36,Unit 4 SKL1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r37,K,Literacy,2026-12-14,18,needs_additional_source_material,KINDER,37,"Heggerty week 17
M.  T.   W.   TH.    F.   | U3: Sessions 21-25 | U3W5","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r37,K,Math,2026-12-14,18,needs_additional_source_material,KINDER,37,Unit 4 K.GSR.8.4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r37,K,Science,2026-12-14,18,needs_additional_source_material,KINDER,37,"Unit 4 SKL1 
SS3 SSKH1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r37,K,Social Studies,2026-12-14,18,needs_additional_source_material,KINDER,37,"Unit 4 SKL1 
SS3 SSKH1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r43,K,Literacy,2027-01-04,19,needs_additional_source_material,KINDER,43,Heggerty week 18 | U3: Sessions 26-30 | U3W6,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r43,K,Math,2027-01-04,19,needs_additional_source_material,KINDER,43,Unit 4 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r43,K,Social Studies,2027-01-04,19,needs_additional_source_material,KINDER,43,SS3 SSKCG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r44,K,Literacy,2027-01-11,20,needs_additional_source_material,KINDER,44,Heggerty week 19 | U4: Sessions 1-5 | U4W1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r44,K,Math,2027-01-11,20,needs_additional_source_material,KINDER,44,Unit 4 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r44,K,Social Studies,2027-01-11,20,needs_additional_source_material,KINDER,44,SS3 SSKCG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r45,K,Literacy,2027-01-18,21,needs_additional_source_material,KINDER,45,Heggerty week 20 | U4: Sessions 6-9 | U4W2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r45,K,Math,2027-01-18,21,needs_additional_source_material,KINDER,45,Unit 4 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r45,K,Science,2027-01-18,21,needs_additional_source_material,KINDER,45,Unit 5 SKL2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r46,K,Literacy,2027-01-25,22,needs_additional_source_material,KINDER,46,Heggerty week 21 | U4: Sessions 10-14 | U4W3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r46,K,Math,2027-01-25,22,needs_additional_source_material,KINDER,46,Unit 4 K.NR.4.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r46,K,Science,2027-01-25,22,needs_additional_source_material,KINDER,46,Unit 5 SKL2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r49,K,Literacy,2027-02-01,23,needs_additional_source_material,KINDER,49,Heggerty week 22 | U4: Sessions 15-19 | U4W4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r49,K,Math,2027-02-01,23,needs_additional_source_material,KINDER,49,Unit 4 K.NR.5.4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r49,K,Science,2027-02-01,23,needs_additional_source_material,KINDER,49,Unit 5 SKL2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r50,K,Literacy,2027-02-08,24,needs_additional_source_material,KINDER,50,Heggerty week 23 | U4: Sessions 20-25 | U4W5,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r50,K,Math,2027-02-08,24,needs_additional_source_material,KINDER,50,Unit 5 K.NR.1.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r50,K,Social Studies,2027-02-08,24,needs_additional_source_material,KINDER,50,SS4 SSKE1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r51,K,Literacy,UNRESOLVED,,needs_timing_review,KINDER,51,week 25,Source row has content but no Week of date. Not assigned to an adjacent week.,
dcss-fy27-K-literacy-r52,K,Literacy,2027-02-22,25,needs_additional_source_material,KINDER,52,Heggerty  week 24 | U4: Sessions 26-30 | U4W6,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r52,K,Math,2027-02-22,25,needs_additional_source_material,KINDER,52,Unit 5 K.NR.2.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r52,K,Social Studies,2027-02-22,25,needs_additional_source_material,KINDER,52,SS4 SSKE1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r55,K,Literacy,2027-03-01,26,needs_additional_source_material,KINDER,55,Heggerty week 25 | U5: Sessions 1-5 | U5W1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r55,K,Math,2027-03-01,26,needs_additional_source_material,KINDER,55,Unit 5 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r55,K,Social Studies,2027-03-01,26,needs_additional_source_material,KINDER,55,SS4 SSKE1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r56,K,Literacy,2027-03-08,27,needs_additional_source_material,KINDER,56,Heggerty week 26 | U5: Sessions 6-9 | U5W2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r56,K,Math,2027-03-08,27,needs_additional_source_material,KINDER,56,Unit 5 K.NR.2.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r56,K,Social Studies,2027-03-08,27,needs_additional_source_material,KINDER,56,SS5 SSKH2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r57,K,Literacy,2027-03-15,28,needs_additional_source_material,KINDER,57,Heggerty week 27 | U5: Sessions 10-14 | U5W3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r57,K,Math,2027-03-15,28,needs_additional_source_material,KINDER,57,Unit 5 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r57,K,Social Studies,2027-03-15,28,needs_additional_source_material,KINDER,57,SS5 SSKH2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r58,K,Literacy,2027-03-22,29,needs_additional_source_material,KINDER,58,Heggerty week 28 | U5: Sessions 15-19 | U5W4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r58,K,Math,2027-03-22,29,needs_additional_source_material,KINDER,58,Unit 5 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r58,K,Social Studies,2027-03-22,29,needs_additional_source_material,KINDER,58,SS5 SSKH2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r59,K,Literacy,2027-03-29,30,needs_additional_source_material,KINDER,59,Heggerty week 29 | U5: Sessions 20-24 | U5W5,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r59,K,Math,2027-03-29,30,needs_additional_source_material,KINDER,59,Unit 6 K.NR.5.4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r59,K,Social Studies,2027-03-29,30,needs_additional_source_material,KINDER,59,SS5 SSKH2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r63,K,Literacy,2027-04-12,31,needs_additional_source_material,KINDER,63,Heggerty week 30 | U5: Sessions 25-30 | U5W6,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r63,K,Math,2027-04-12,31,needs_additional_source_material,KINDER,63,Unit 6 K.NR.5.4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r63,K,Science,2027-04-12,31,needs_additional_source_material,KINDER,63,Unit 6 SKP1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r64,K,Literacy,2027-04-19,32,needs_additional_source_material,KINDER,64,Heggerty week 31* | U6: Sessions 1-5 | U6W1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r64,K,Math,2027-04-19,32,needs_additional_source_material,KINDER,64,Unit 6 K.NR.5.3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r64,K,Science,2027-04-19,32,needs_additional_source_material,KINDER,64,Unit 6 SKP1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r65,K,Literacy,2027-04-26,33,needs_additional_source_material,KINDER,65,Heggerty week 32* | U6: Sessions 6-10 | U6W2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r65,K,Math,2027-04-26,33,needs_additional_source_material,KINDER,65,Unit 6 K.NR.5.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r65,K,Science,2027-04-26,33,needs_additional_source_material,KINDER,65,Unit 6 SKP1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r68,K,Literacy,2027-05-03,34,needs_additional_source_material,KINDER,68,Heggerty week 33* | U6: Sessions 11-15 | U6W3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r68,K,Math,2027-05-03,34,needs_additional_source_material,KINDER,68,Unit 7  K.NR.3.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r69,K,Literacy,2027-05-10,35,needs_additional_source_material,KINDER,69,Heggerty week 34* | U6: Sessions 16-20 | U6W4,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r69,K,Math,2027-05-10,35,needs_additional_source_material,KINDER,69,Unit 7 K.GSR.8.3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r70,K,Literacy,2027-05-17,36,needs_additional_source_material,KINDER,70,Culminating Activites | U6: Sessions 21-25 | U6W5,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r70,K,Math,2027-05-17,36,needs_additional_source_material,KINDER,70,Unit 7  K.NR.3.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r10,1,Literacy,2026-08-03,1,needs_additional_source_material,FIRST,10,Get to Know You | U1: Sessions 1-2 | U1W1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r10,1,Math,2026-08-03,1,needs_additional_source_material,FIRST,10,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r10,1,Social Studies,2026-08-03,1,needs_additional_source_material,FIRST,10,SS1CG2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r11,1,Literacy,2026-08-10,2,needs_additional_source_material,FIRST,11,Heggerty Week 1 | U1: Sessions 3-7 | U1W1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r11,1,Math,2026-08-10,2,needs_additional_source_material,FIRST,11,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r11,1,Social Studies,2026-08-10,2,needs_additional_source_material,FIRST,11,SS1CG2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r12,1,Literacy,2026-08-17,3,needs_additional_source_material,FIRST,12,"Heggerty Week 2
 | U1: Sessions 8-12 | U1W2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r12,1,Math,2026-08-17,3,needs_additional_source_material,FIRST,12,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r12,1,Social Studies,2026-08-17,3,partially_supported,FIRST,12,SS1G2,The cited skill supports generated drafts; other references still need source detail or review.,1st Grade Pacing
dcss-fy27-1-literacy-r13,1,Literacy,2026-08-24,4,needs_additional_source_material,FIRST,13,Heggerty week 3 | U1: Sessions 13-16 | U1W3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r13,1,Math,2026-08-24,4,needs_additional_source_material,FIRST,13,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r13,1,Social Studies,2026-08-24,4,needs_additional_source_material,FIRST,13,"SS1CG2, SS1G2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r16,1,Literacy,2026-08-31,5,needs_additional_source_material,FIRST,16,"Heggerty Week 4
 | U1: Sessions 17-21 | U1W4","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r16,1,Math,2026-08-31,5,needs_additional_source_material,FIRST,16,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-science-r16,1,Science,2026-08-31,5,partially_supported,FIRST,16,S1L1.b,The cited skill supports generated drafts; other references still need source detail or review.,1st Grade Pacing
dcss-fy27-1-literacy-r17,1,Literacy,2026-09-07,6,partially_supported,FIRST,17,"Heggerty  week 5
M.    T.     W.    TH.     F. | U1: Sessions 22-25 | U1W5",The cited skill supports generated drafts; other references still need source detail or review.,DCSS 1st Grade ELA Pacing Calendar 2026-27 | DCSS 1st Grade ELA Pacing Calendar 2026-27
dcss-fy27-1-math-r17,1,Math,2026-09-07,6,partially_supported,FIRST,17,"U1: 1.NR.2, 1.NR.2.2",The cited skill supports generated drafts; other references still need source detail or review.,1st Math Pacing Support
dcss-fy27-1-science-r17,1,Science,2026-09-07,6,needs_additional_source_material,FIRST,17,S1L1.a,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r18,1,Literacy,2026-09-14,7,needs_additional_source_material,FIRST,18,"Heggerty  week 6
M.   T.    W.   TH.   F.  | U1: Sessions 26-30 | U1W6","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r18,1,Math,2026-09-14,7,needs_additional_source_material,FIRST,18,"U1: 1.NR.2, 1.NR.2.2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-science-r18,1,Science,2026-09-14,7,needs_additional_source_material,FIRST,18,S1L1.c,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r19,1,Literacy,2026-09-21,8,needs_additional_source_material,FIRST,19,"Heggerty  week 7
M.   T.    W.   TH.   F.  | U2: Sessions 1-5 | U2W1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r19,1,Math,2026-09-21,8,needs_additional_source_material,FIRST,19,"U2: 1.NR.1.2, 1.NR.2.7","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-science-r19,1,Science,2026-09-21,8,needs_additional_source_material,FIRST,19,"S1L1.a, b, c","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r20,1,Literacy,2026-09-28,9,needs_additional_source_material,FIRST,20,"Heggerty  week 8
M.   T.    W.   TH.   F.  | U2: Sessions 6-10 | U2W2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r20,1,Math,2026-09-28,9,needs_additional_source_material,FIRST,20,"U2: 1.NR.1.2, 1.NR.2.7","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r20,1,Social Studies,2026-09-28,9,needs_additional_source_material,FIRST,20,SS1H1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-literacy-r23,1,Literacy,2026-10-05,10,needs_additional_source_material,FIRST,23,"Heggerty week 9
M.   T.    W.   TH.   F.  | U2: Sessions 11-15 | U2W3","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r23,1,Math,2026-10-05,10,needs_additional_source_material,FIRST,23,"U2: 1.NR.1.2, 1.NR.2.1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-social-studies-r23,1,Social Studies,2026-10-05,10,needs_additional_source_material,FIRST,23,"SS1H1, SS1G1a, SS1G1b","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-1-math-r24,1,Math,UNRESOLVED,,needs_timing_review,FIRST,24,"U2: 1.NR.2.1, 1.NR.2.7",Source row has content but no Week of date. Not assigned to an adjacent week.,
